i,t,Sg,Se,Pop,Sg_pc,Ve,V,Mi_c,Mi_e,Pg,Pe,Pd,l1_Pg,l1_Pe,l1_Pd,l2_Pg,l2_Pe,l2_Pd,gdp_pc,l1_gdp_pc,Temp_10,elec_cost,stations
11,2006,180781.71,10618.08,1562417,0.11570644072613137,0,222032.0,0.14210802877848872,0.0,2.73,2.14,2.08,2.6507,1.8668,1.9597,2.6162,1.755,1.7659,11.2562,11.7278,0.0,0.28,0.0
11,2007,192110.87,21534.12,1527991,0.12572774970533204,0,252790.0,0.16543945612245098,0.0,2.5656,1.8189,1.9816,2.73,2.14,2.08,2.6507,1.8668,1.9597,11.4742,11.2562,0.0,0.3086666666666667,0.0
11,2008,211211.34,40583.8,1493565,0.14141422703397574,0,295349.0,0.19774767084124226,0.0,2.4498,1.6814,2.0068,2.5656,1.8189,1.9816,2.73,2.14,2.08,13.4659,11.4742,0.0,0.3373333333333334,0.0
11,2009,233616.64,57187.67,1503928,0.15533764914277812,1,343361.0,0.2283094669425664,0.0006649254485587076,2.3225,1.6119,1.9672,2.4498,1.6814,2.0068,2.5656,1.8189,1.9816,14.2204,13.4659,0.0,0.366,0.0
11,2010,286145.9,40080.72,1540192,0.18578586306122874,1,394280.0,0.25599405788369245,0.0006492697014398205,2.2666,1.6856,1.8247,2.3225,1.6119,1.9672,2.4498,1.6814,2.0068,14.3721,14.2204,0.0,0.39466666666666667,0.0
11,2011,325210.12,26509.16,1576455,0.20629204132055784,8,446685.0,0.2833477644461783,0.005074677044381222,2.2742,1.8209,1.7134,2.2666,1.6856,1.8247,2.3225,1.6119,1.9672,16.1483,14.3721,0.0,0.42333333333333334,0.0
11,2012,365370.29,19696.68,1590011,0.2297910454707546,12,492911.0,0.3100047735518811,0.007547117598557494,2.1415,1.7495,1.6261,2.2742,1.8209,1.7134,2.2666,1.6856,1.8247,16.1976,16.1483,0.0,0.452,0.0
11,2013,378462.95,20747.51,1728214,0.21899079049238115,25,531964.0,0.30781141687314184,0.014465801110279166,2.0974,1.6793,1.7067,2.1415,1.7495,1.6261,2.2742,1.8209,1.7134,14.3264,16.1976,0.0,0.4806666666666667,0.0
11,2014,406947.37,18135.06,1748531,0.2327367201382189,50,569724.0,0.32583008250926065,0.02859543239439278,2.0612,1.6941,1.7778,2.0974,1.6793,1.7067,2.1415,1.7495,1.6261,14.3572,14.3264,0.0,0.5093333333333333,0.0
11,2015,416855.03,29194.54,1768204,0.2357505299162314,77,601181.0,0.3399952720387467,0.04354701154391688,2.0895,1.6122,1.8101,2.0612,1.6941,1.7778,2.0974,1.6793,1.7067,14.181,14.3572,0.0,0.538,0.0
11,2016,431573.74,14528.65,1787279,0.24146970898220144,113,625604.0,0.3500315283735779,0.06322460007642904,2.1246,1.8563,1.807,2.0895,1.6122,1.8101,2.0612,1.6941,1.7778,14.0062,14.181,0.0,0.5666666666666667,0.0
11,2017,436154.44,11331.85,1805788,0.24153136470061823,225,648227.0,0.3589718172897372,0.12459934388754383,2.101,1.835,1.7659,2.1246,1.8563,1.807,2.0895,1.6122,1.8101,14.7461,14.0062,0.0,0.5953333333333333,0.0
11,2018,427769.57,15640.01,1757589,0.2433843008803537,354,676112.0,0.38468151541685797,0.20141227556613064,2.3019,1.9122,1.902,2.101,1.835,1.7659,2.1246,1.8563,1.807,14.9647,14.7461,0.0,0.624,26.0
11,2019,440066.88,15469.21,1777225,0.24761461266862667,738,704059.0,0.39615636737047927,0.4152541180773397,2.2166,1.8578,1.8873,2.3019,1.9122,1.902,2.101,1.835,1.7659,14.8879,14.9647,0.0,0.6526666666666667,220.0
11,2020,430076.78,12244.93,1796460,0.2394023691036817,1433,727072.0,0.40472484775614265,0.797679881544816,2.0596,1.7257,1.7116,2.2166,1.8578,1.8873,2.3019,1.9122,1.902,15.1572,14.8879,0.0,0.6813333333333333,400.0
11,2021,439880.44,12567.02,1815278,0.24232125327360327,2489,749237.0,0.41273953631344623,1.3711398474503629,2.5037,2.1362,2.0636,2.0596,1.7257,1.7116,2.2166,1.8578,1.8873,14.9584,15.1572,0.0,0.71,800.0
12,2006,54125.47,4135.93,686652,0.0788251836446992,0,58688.0,0.08546978673330886,0.0,2.94,2.26,2.29,2.7435,2.0112,2.1556,2.6925,2.0167,1.9404,9.1462,9.2366,1.0,0.32,0.0
12,2007,59986.73,6373.69,683364,0.08778151907329038,0,68508.0,0.10025111068186209,0.0,2.7953,1.9816,2.1731,2.94,2.26,2.29,2.7435,2.0112,2.1556,9.9975,9.1462,1.0,0.354,0.0
12,2008,69961.95,9511.65,680075,0.10287387420505091,0,80705.0,0.11867073484542146,0.0,2.6848,1.8983,2.1876,2.7953,1.9816,2.1731,2.94,2.26,2.29,10.9672,9.9975,1.0,0.388,0.0
12,2009,75724.2,11952.01,691132,0.10956546651001545,0,95982.0,0.13887650984182473,0.0,2.5739,1.8286,2.1319,2.6848,1.8983,2.1876,2.7953,1.9816,2.1731,11.6212,10.9672,1.0,0.42200000000000004,0.0
12,2010,94983.8,9494.53,718759,0.1321497191687339,1,112888.0,0.15705959855807022,0.0013912869264941377,2.4466,1.972,1.9802,2.5739,1.8286,2.1319,2.6848,1.8983,2.1876,11.3587,11.6212,1.0,0.456,0.0
12,2011,106948.78,8584.56,746386,0.14328883446366894,5,127609.0,0.17096917680663892,0.006698946657627555,2.3895,1.9131,1.9285,2.4466,1.972,1.9802,2.5739,1.8286,2.1319,11.0695,11.3587,0.0,0.49,0.0
12,2012,118891.75,5745.5,758786,0.15668679970373728,8,141181.0,0.18606168274058826,0.010543157095676515,2.2721,1.8293,1.8874,2.3895,1.9131,1.9285,2.4466,1.972,1.9802,11.427,11.0695,0.0,0.524,0.0
