i,t,Sg,Se,Pop,Sg_pc,Se_pc
11,2006,180781.71,10618.08,1562417,0.11570644072613137,0.00679593219991846
11,2007,192110.87,21534.12,1527991,0.12572774970533204,0.014093093480262645
11,2008,211211.34,40583.8,1493565,0.14141422703397574,0.027172436418903767
11,2009,233616.64,57187.67,1503928,0.15533764914277812,0.038025537126777344
11,2010,286145.9,40080.72,1540192,0.18578586306122874,0.026023197107893043
11,2011,325210.12,26509.16,1576455,0.20629204132055784,0.016815678214728617
11,2012,365370.29,19696.68,1590011,0.2297910454707546,0.012387763355096285
11,2013,378462.95,20747.51,1728214,0.21899079049238115,0.012005174127741124
11,2014,406947.37,18135.06,1748531,0.2327367201382189,0.010371597643965134
11,2015,416855.03,29194.54,1768204,0.2357505299162314,0.01651084377142004
11,2016,431573.74,14528.65,1787279,0.24146970898220144,0.008128921114162926
11,2017,436154.44,11331.85,1805788,0.24153136470061823,0.006275293666809172
11,2018,427769.57,15640.01,1757589,0.2433843008803537,0.008898559333268472
11,2019,440066.88,15469.21,1777225,0.24761461266862667,0.008704137067619463
11,2020,430076.78,12244.93,1796460,0.2394023691036817,0.006816143972033889
11,2021,439880.44,12567.02,1815278,0.24232125327360327,0.006922917591685681
11,2022,461219.1,8114.32,1815278,0.2540762902431473,0.004470015061054009
11,2023,478218.96,12757.61,1815278,0.2634411698924352,0.007027909774701175
12,2006,54125.47,4135.93,686652,0.0788251836446992,0.006023327682727204
12,2007,59986.73,6373.69,683364,0.08778151907329038,0.009326932644973982
12,2008,69961.95,9511.65,680075,0.10287387420505091,0.013986177995074072
12,2009,75724.2,11952.01,691132,0.10956546651001545,0.017293382450819815
12,2010,94983.8,9494.53,718759,0.1321497191687339,0.013209615462206387
12,2011,106948.78,8584.56,746386,0.14328883446366894,0.01150150190384064
12,2012,118891.75,5745.5,758786,0.15668679970373728,0.007571963636651177
12,2013,125329.99,6024.83,776463,0.1614114130357789,0.007759326587358316
12,2014,138151.75,3699.01,790101,0.1748532782517678,0.004681692593731687
12,2015,140258.84,7384.5,803513,0.1745570264575682,0.009190268234614747
12,2016,136817.74,7603.71,816687,0.16752775543139536,0.0093104334953293
12,2017,136592.56,6748.5,829619,0.16464492737027478,0.008134456901300477
12,2018,133872.32,8533.39,869265,0.1540063386884322,0.009816787745969295
12,2019,138001.4,7903.02,881935,0.15647570399179078,0.00896100052724974
12,2020,136417.72,6541.79,894470,0.15251234809440228,0.007313593524657059
12,2021,138568.1,6970.54,906876,0.1527971850616843,0.00768632095236835
12,2022,149349.85,6101.56,906876,0.16468607615594635,0.00672810836321614
12,2023,155529.5,9226.04,906876,0.17150029331463176,0.010173430546182721
13,2006,332061.53,16265.73,3311026,0.10028961717606567,0.00491259506871888
13,2007,354301.33,32504.39,3326060,0.10652283181902912,0.009772640902449144
13,2008,388553.26,54703.03,3341094,0.11629521947002988,0.016372789870623215
13,2009,403312.31,79600.73,3393369,0.11885306608270424,0.023457728882417442
13,2010,468688.2,54875.69,3465878,0.13522928389285485,0.015833127998158045
13,2011,521355.1,40517.31,3538387,0.14734258858626825,0.011450785343717348
13,2012,569396.75,40069.26,3590985,0.15856283164647025,0.011158292223442872
13,2013,590749.21,47011.25,3807921,0.1551369395531052,0.012345647401823725
13,2014,627353.97,50438.88,3873743,0.16195033330812084,0.013020708911251984
13,2015,617203.43,78600.59,3938336,0.15671680374655694,0.01995781721011107
13,2016,634172.72,38370.91,4001667,0.15847713465413288,0.009588731396190639
13,2017,644424.52,38859.03,4063614,0.1585840879571731,0.00956267745903031
13,2018,614179.33,90530.92,4080611,0.15051160965845556,0.022185628573760153
13,2019,647740.53,102044.67,4144597,0.15628552788123912,0.024621132042512216
13,2020,625946.68,112895.73,4207714,0.1487616981572417,0.026830656741404002
13,2021,608234.64,130812.71,4269995,0.14244387639798173,0.03063533095472009
13,2022,643995.49,123819.64,4269995,0.1508187925278601,0.028997607725535977
13,2023,619234.77,167462.42,4269995,0.14502002227168884,0.039218411262776656
14,2006,48344.95,1299.0,403344,0.11986034253639573,0.003220575984767345
14,2007,52591.94,2256.27,408064,0.12888159700439147,0.005529206202948557
14,2008,62254.19,2865.82,412783,0.15081577971961055,0.006942679325456717
14,2009,74627.01,2908.07,421499,0.17705145207936435,0.006899352074382146
14,2010,85768.4,2756.32,440832,0.19456028600464575,0.006252540650406505
14,2011,88273.25,2486.82,460165,0.1918295611356796,0.0054041919746178006
14,2012,99430.0,1928.8,469524,0.21176766256889956,0.004107990219882264
14,2013,108861.3,1822.8,488072,0.22304352636496255,0.003734694881083119
14,2014,122815.08,1953.6,496936,0.24714466249174943,0.0039312909509474055
14,2015,123890.24,2902.4,505665,0.24500457812978949,0.005739768423758813
14,2016,129943.6,1448.4,514229,0.25269597786200315,0.0028166439465685525
14,2017,137423.77,1016.6,522636,0.26294355918842177,0.001945139638295104
14,2018,140968.56,2000.0,576568,0.24449598312774903,0.0034688015984237768
14,2019,153676.13,1663.2,605761,0.2536910266590289,0.002745637305802123
14,2020,156555.17,1555.8,631181,0.24803530207658345,0.0024649030943580366
14,2021,167862.0,2564.15,652713,0.257175818468454,0.003928449410384043
14,2022,185867.56,2350.36,652713,0.2847615414431764,0.003600908822100985
14,2023,183252.1,3098.51,652713,0.28075448167877765,0.004747124693395106
15,2006,435939.38,10367.0,7110465,0.06130954585951833,0.0014579918472279942
15,2007,493385.98,17748.83,7215978,0.06837409703854419,0.002459656889197833
15,2008,559079.29,31548.27,7321490,0.07636140867501015,0.004308995846473873
15,2009,585376.66,46192.34,7431020,0.0787747388649203,0.006216150676488557
15,2010,674940.64,46966.6,7559806,0.08928015348542014,0.0062126726532400435
15,2011,768592.56,33566.53,7688593,0.0999653070464258,0.004365757167793899
15,2012,909505.43,30715.07,7777543,0.11693994234425963,0.003949199637983358
15,2013,996173.28,32956.05,7969654,0.12499580031956219,0.0041351920673093215
15,2014,1098714.35,33477.43,8073924,0.13608182960354842,0.004146364270954247
15,2015,1131966.26,52965.81,8175113,0.13846490684593596,0.006478908609581299
15,2016,1154585.46,36912.84,8272724,0.13956533059727363,0.004461993413535856
15,2017,1154058.16,27253.95,8366628,0.137935875719585,0.0032574592775010437
15,2018,1136547.74,53647.42,8513497,0.1334995172958891,0.006301455206949623
15,2019,1176565.93,58377.72,8602865,0.13676443022179238,0.00678584634304967
15,2020,1208775.16,44085.35,8690745,0.13908763402907345,0.0050726778889496815
15,2021,1244976.24,45158.35,8777124,0.14184330083521662,0.0051450053571078635
15,2022,1301558.19,36721.29,8777124,0.1482898259156416,0.00418374971118102
15,2023,1384124.36,49268.49,8777124,0.15769679908817513,0.0056132840324461634
16,2006,64644.76,925.3,615715,0.10499136775943416,0.0015028056811999058
