Ano,Frota_Gasoline,Frota_Ethanol,Frota_Flex,Frota_Electric,Frota_Total
1957,9455,0,0,0,9455
1958,30066,0,0,0,30066
1959,69464,0,0,0,69464
1960,137589,0,0,0,137589
1961,223879,0,0,0,223879
1962,339586,0,0,0,339586
1963,458458,0,0,0,458458
1964,585143,0,0,0,585143
1965,718269,0,0,0,718269
1966,869029,0,0,0,869029
1967,1021838,0,0,0,1021838
1968,1198785,0,0,0,1198785
1969,1443940,0,0,0,1443940
1970,1751112,0,0,0,1751112
1971,2146028,0,0,0,2146028
1972,2598797,0,0,0,2598797
1973,3143178,0,0,0,3143178
1974,3765274,0,0,0,3765274
1975,4399601,0,0,0,4399601
1976,5055866,0,0,0,5055866
1977,5679562,0,0,0,5679562
1978,6411564,0,0,0,6411564
1979,7159300,2271,0,0,7161571
1980,7633776,228260,0,0,7862036
1981,7843669,356321,0,0,8199990
1982,8063296,567026,0,0,8630322
1983,7990640,1102942,0,0,9093582
1984,7858673,1602335,0,0,9461008
1985,7704276,2174060,0,0,9878336
1986,7562323,2783911,0,0,10346234
1987,7373819,3157480,0,0,10531299
1988,7210224,3630401,0,0,10840625
1989,7188487,3950050,0,0,11138537
1990,7393875,3987217,0,0,11381092
1991,7597988,4074638,0,0,11672626
1992,7752105,4188140,0,0,11940245
1993,8142658,4353542,0,0,12496200
1994,8858768,4399989,0,0,13258757
1995,9934967,4348874,0,0,14283841
1996,11044293,4260019,0,0,15304312
1997,12324128,4154722,0,0,16478850
1998,13236899,4038979,0,0,17275878
1999,13924123,3922368,0,0,17846491
2000,14768655,3796795,0,0,18565450
2001,15708025,3669033,0,0,19377058
2002,16514100,3567330,0,0,20081430
2003,17167243,3446397,39002,0,20652642
2004,17721084,3338653,317031,0,21376768
2005,17932681,3209849,1067235,0,22209765
2006,17757844,3050966,2396156,1,23204967
2007,17508711,2890882,4220328,3,24619924
2008,17207959,2732249,6316909,11,26257128
2009,16885824,2576071,8706635,32,28168562
2010,16593638,2423205,11237607,56,30254506
2011,16365238,2274406,13705064,255,32344963
2012,16024584,2130286,16459159,371,34614400
2013,15589318,1991322,19183097,853,36764590
2014,15137791,1857892,21627340,1691,38624714
2015,14628274,1730301,23402370,2527,39763472
2016,14056558,1608735,24743034,3601,40411928
2017,13469303,1493320,26195490,6857,41164970
2018,12894749,1384072,27818063,10788,42107672
2019,12314997,1280982,29529006,22562,43147547
2020,11726327,1183960,30538080,42124,43490491
2021,11140650,1092894,31396139,76738,43706421
2022,10559188,1007638,32206054,125107,43897987
2023,9996423,927993,33048207,217286,44189909
2024,9483456,853733,33935260,390885,44663334
