Taxa de vítimas de acidentes de trânsito a óbito (100.000 Habitantes)
Sigla;Código;Estado;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
AC;12;Acre;21,8978772171777;17,3865335502242;17,7194106017935;14,6856950129741;15,183295436327;13,8944512100541;11,5039717462472;13,493057878403;12,5213813766857;10,0344479289218;
AL;27;Alagoas;25,4933310238754;23,5690796698381;25,1408262630308;21,97257439543;21,70312682814;18,954234140122;17,9064770285638;18,4277558559012;20,1399773179068;18,6904724054111;
AM;13;Amazonas;13,7664609449513;13,8920949252968;13,3720175302403;12,3402715621287;11,8200739841887;10,8819835191282;11,8854749938319;11,3641929480506;10,8847702101562;10,8431040317083;
AP;16;Amapá;17,8048312296917;18,6395572221068;17,3124429854664;12,3908949095663;12,5272435589924;11,8068981802787;8,077213337275;10,1687179493002;9,16714726502522;11,1666531831336;
BA;29;Bahia;19,7430303860221;18,5454306883862;18,6494554868024;15,621042326714;16,0703655520476;15,9933634660362;14,5619102957858;16,3651551556565;16,0006601193281;15,8955946380512;
CE;23;Ceará;28,7316112809365;27,9658113115377;29,9879369792027;26,0409940720059;23,037456896813;22,3664031563513;21,1885673410227;18,1776809177449;19,0266724994917;20,5831235701564;
DF;53;Distrito Federal;20,7179939995;18,8546617434;18,335616813;15,9872102318;14,6445538382;11,6340282703;11,9675813014;11,2427817362;10,7032422969;10,503098414;
ES;32;Espírito Santo;30,5309377532706;27,7389548170174;25,4825598904442;21,6289114932016;21,1138393289625;23,5393561986084;19,6103703867763;19,2850832991295;18,5037002479315;19,2283914257922;
GO;52;Goiás;32,5391099922829;31,0380028249771;32,7905593848648;28,2875460826097;26,5238718580291;23,943131984385;22,1061177452602;20,9023369297211;22,3657981820656;23,2426186646638;
MA;21;Maranhão;26,5652839998114;24,4175228621773;26,7996607127933;23,8691898872263;24,5612763580758;20,874594017745;19,7866256909089;18,543695207229;20,3103534451271;20,424248405836;
MG;31;Minas Gerais;21,9055854107568;20,846529336937;21,0330898105675;18,7790205708176;17,2543857476778;17,7438710947529;15,6268847434611;15,0315622654058;13,8404462832349;14,9029118029182;
MS;50;Mato Grosso do Sul;31,771502807796;30,8994971562233;31,6278905919937;24,8575514744188;23,7087784182709;21,7122469996896;20,5875181235983;22,5600820104144;22,1017673915749;22,6579945133871;
MT;51;Mato Grosso;37,0521170044101;37,176555326606;36,4105409446446;32,8589960152817;32,0069604550714;30,1283603493073;30,7960667031216;28,0961272114643;31,5919029442351;33,9198381715283;
PA;15;Pará;21,5745386291995;21,8243387137412;22,1501367290133;21,5079591704225;20,7001100507608;18,9609427180904;17,522769892138;16,3157765407106;18,6637686909895;18,183183762474;
PB;25;Paraíba;25,4131111054882;25,8786676241482;24,4431388945856;25,678626948708;25,4537226069306;23,0472894651555;21,5939162706539;19,1880445789819;19,5827124507787;20,6655081830744;
PE;26;Pernambuco;22,229039662805;20,1660413420225;20,7692042387743;20,2340385964077;19,8823931472783;17,9025636280411;16,4379914943683;15,4754526779063;15,6707849877921;15,5248799638356;
PI;22;Piauí;35,9991112423183;34,3212284354815;37,6063407178497;35,0247677379058;32,8049786158953;30,6138256841287;29,4226496048145;26,863465288992;27,3459627887167;27,2506308185664;
PR;41;Paraná;33,1336029360763;28,4974764638929;27,6311620672365;24,4467829189307;24,3357479328833;22,6337819451312;21,4998109514573;21,1912638817829;21,7941727070846;22,8756513050527;
RJ;33;Rio de Janeiro;18,3298693177842;16,0606710941305;17,2587922793974;13,0573947119844;13,3986567440948;12,0928025832242;11,7191415364511;8,49698721855303;10,336176808853;10,8455714880215;
RN;24;Rio Grande do Norte;18,3016927717808;18,4649546719385;17,3972994579898;17,4018740569096;17,6402979224753;16,5185359708521;15,4354255952181;13,5449076422769;13,4119374731985;12,9461543883746;
RO;11;Rondônia;39,2438931816438;31,8826256470623;31,4548676979631;28,9000668490928;27,192173130214;28,1426215110812;22,9291375856298;22,3381957827557;23,8246328891183;26,1117030008617;
RR;14;Roraima;31,1017318863851;31,75760953303;29,5821074535129;32,4319620941298;21,196781978462;25,2338242958084;16,303367512592;20,139956187343;21,0716102037453;22,5213838241399;
RS;43;Rio Grande do Sul;19,3601662959082;19,012016633816;18,7603730940189;16,2381866302919;16,1206658871933;16,7771219645267;15,5827365174646;14,8757244003048;13,8179396261045;14,9429993923355;
SC;42;Santa Catarina;29,9560368700078;25,9491279142287;27,9469199407265;23,2740394567022;21,9933909497309;21,7022211095817;19,7081995467992;20,1906009532137;18,7290862571201;19,5485541656878;
SE;28;Sergipe;28,8328189331115;29,8770940153633;23,6983586408606;25,0563098208144;20,6992826749717;18,2964701545892;17,3374275997663;17,3576671295477;17,940143745398;18,0887193956249;
SP;35;São Paulo;17,1297767505392;15,8690283219146;16,6412109278594;13,8299314855368;12,8760642613479;11,9292300310961;10,2351974143499;11,1783673917153;11,3654694484454;11,4793132699684;
TO;17;Tocantins;35,6417049072428;34,3669579288947;39,0831428725888;35,7064127661312;35,9448940636796;37,4020229615808;30,3492283129973;29,0552405608597;29,6180218431301;33,2221159750591;
