Razão de dependência  (Atlas DH - PNADC/A)
Sigla;Código;Estado;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
AC;12;Acre;59,71;58,62;54,74;57,93;54,03;52,46;49,53;51,63;48,94;47,69;
AL;27;Alagoas;50,83;51,91;51,1;49,26;47,67;48;47,33;48,31;50,35;46,85;
AM;13;Amazonas;57,99;56,53;56,06;52,01;53,59;50,49;48,87;49,18;48,6;46,83;
AP;16;Amapá;58,58;50,54;55,6;56,72;50,15;48,37;49,46;50,37;48,63;47,3;
BA;29;Bahia;48,35;48,44;47,75;46,53;45,98;45,84;45,85;45,59;44,75;46,6;
CE;23;Ceará;49,7;48,85;47,83;49,16;46,66;46,82;46,25;46,37;44,89;46,19;
DF;53;Distrito Federal;40,4;37,89;39,74;38,09;38,42;37,94;37,5;37,47;37,95;38,97;
ES;32;Espírito Santo;42,85;40,64;43,8;41,46;41,89;43,32;42,88;43,49;43,39;45,6;
GO;52;Goiás;43,9;43,56;41,95;41,87;43,44;41,85;43,43;41,56;43,53;43,73;
MA;21;Maranhão;58,81;56,85;57,35;56,81;55,34;53,53;52,56;51,93;50,8;49,76;
MG;31;Minas Gerais;43,95;42,79;43,7;41,2;42,85;42,05;42,67;42,92;42,94;43,62;
MS;50;Mato Grosso do Sul;47,13;46,43;46,37;45,84;45,15;46,85;43,17;45,93;46,51;49,14;
MT;51;Mato Grosso;45,32;42,69;45,23;45,62;44,51;44,35;44,47;44,91;44,27;44,8;
PA;15;Pará;55,55;53,33;52,9;52,54;49,4;48,19;49,22;47,35;44,88;46,61;
PB;25;Paraíba;50,3;50,26;50,38;48,29;48,73;48,11;48,97;47,47;47,51;46,25;
PE;26;Pernambuco;49,26;48,43;46,81;45,52;44,55;45,7;45,07;45,02;45,35;44,61;
PI;22;Piauí;49,7;48,63;50,47;48,59;48,81;49,42;49,5;48,32;47,58;47,15;
PR;41;Paraná;43,46;42,85;42,33;42,59;41,99;43,07;43,19;43,8;44,07;43,98;
RJ;33;Rio de Janeiro;42,36;43,35;42,11;43,3;42,17;41,5;41,83;43,15;43,79;44,57;
RN;24;Rio Grande do Norte;47,9;45,4;45,37;44,01;45,2;44,05;47,09;48,26;47,77;42,78;
RO;11;Rondônia;47,68;44,36;43,51;47,02;44,77;43,6;42,99;43,69;42,04;43,83;
RR;14;Roraima;56,34;51,86;49,53;50,22;48,36;49,24;43,68;52,46;50,52;48,48;
RS;43;Rio Grande do Sul;43,33;41,13;43,04;41,96;42,4;44,04;44,17;44,08;45,39;45,24;
SC;42;Santa Catarina;39,97;39,76;39,43;39,7;40,54;39,32;39,54;40,93;40,61;42,39;
SE;28;Sergipe;46,25;48,24;46,36;44,07;43,45;44,61;44,49;44,37;42,36;41,79;
SP;35;São Paulo;41,63;41,69;40,87;41,57;41,41;41,6;41,64;41,47;42,97;42,71;
TO;17;Tocantins;53,98;52,72;51,31;51,57;49,06;47,89;49,07;47,25;46,87;50,02;
