Energia elétrica - consumo final energia - residência - quantidade
Sigla;Código;Estado;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
AC;12;Acre;220480,13;231106;251867;272035;309742;331917;362017;373115;400239;431341;447628;466159;452742,17;491085,21;549967,67;548693,02;
AL;27;Alagoas;695168,73;741396;809225;854277;925967;1019796;1096220;1227063;1306645;1325689;1306823;1393966;1435484;1266438,16;1556449,27;1606344,43;
AM;13;Amazonas;999465,02;1071003;1122959;1197688;1317611;1385605;1555126;1783658;2011399;2190240;2124621;2002570;2004509,12;2037296,95;2253033;2153618,7;
AP;16;Amapá;275789,92;283979;306919;344436;396539;419634;448284;499596;534027;565435;621343;579131;544966,79;524498;516266;610268,35;
BA;29;Bahia;3666524,47;3852682;4190343;4652182;5176197;5367100;5504723;6143554;6526183;6686760;6888577;6842622;7039925,71;7341803;7463535,1;7632068;
CE;23;Ceará;2254679,2;2316754;2456488;2607764;2949210;3031925;3357071;3750613;4020815;3933361;4129079;4074962;4334858,8;4656988;4883557,4;5182591,5;
DF;53;Distrito Federal;1589608;1704639;1785468;1878995;1966598;2005410;2074439;2191307;2299844;2275020;2251614;2186723;2241219;2252368,4;2382489,1;2457906,7;
ES;32;Espírito Santo;1453579,04999999;1575604;1676868;1808163;1913546;1968552;2071426;2212913;2361911;2391277;2385993;2343656;2432833;2624206,2;2649285,85;2711995,72;
GO;52;Goiás;2583169,88;2657861;2796287;2945481;3296839;3420798;3731975;3957573;4238227;4266968;4383177;4487449;4801888;5112258,2;5434089,7;5669994;
MA;21;Maranhão;1202637,93;1353219;1466082,8;1641066;1916565;2041260;2257543;2563495;2784966;2916638;3124597;3185841;3205070,4;3304440,7;3569637,2;3736763,7;
MG;31;Minas Gerais;7118521,04;7292793;7726417;8299449;8686179;9122122;9475471;10117919;10697894;10516038;10612565;10723512;11000755,3;11336491,37;11860692,07;12152804,3499999;
MS;50;Mato Grosso do Sul;992807,04;1010551;1028618;1152991;1237873;1326457;1451186;1571159;1752894;1786428;1790732;1903026;1961924,02;2150333,06;2249655,76;2215220,48;
MT;51;Mato Grosso;1336394,47;1397477;1485779;1595715;1705056;1772399;1944711;2181737;2401149;2536577;2550382;2733960;2807209,89;3127166,27;3364210,69;3293563,18;
PA;15;Pará;1812428,21;1885942;2049598;2078438;2320654;2345949;2409108;2632020;3200255;3432032,36;3746099;3809913;3671512,27;3611817,13;3928866,61;4258416,98;
PB;25;Paraíba;961721,17;965894;1041690;1104639;1264291;1355596;1430885;1603427;1719925;1771924;1812134;1843889;1885807,4;2020830,84;2189030,04;2281446,33;
PE;26;Pernambuco;2882486,14;3021529;3206488;3507062;3791342;3932766;4028383;4563335;4758844;4840537;4851629;4849515;4932708;5165433,17;5413298,86;5453528,17;
PI;22;Piauí;665085;710125;760168;807695;989528;1028673;1194233;1328469;1413583;1578228;1629014;1679632;1655822;1775807,5;1888062;1991635;
PR;41;Paraná;4965864,55;5218348;5460761;5757614;6018594;6314932;6653965,53;6985892;7363258;7036618;7003219;7318830;7460369,17;7730064,08;8152990,01;8321085,41;
RJ;33;Rio de Janeiro;10508108,54;10652170;10772914;11436806;11866517;12340103;12367313;12832744;13863606;13871971;13706131;13218810;13415863,9;13417197,74;13491329,83;13369255,8;
RN;24;Rio Grande do Norte;1063131,44;1125464;1197723;1311817;1467783;1531495;1635583;1804820;1932555;1994974;2082279;2113777;2155123;2229376;2364726;2438769;
RO;11;Rondônia;567134;579235;619767;685006;793946;875460;1060709;1084123;1157447;1177037;1151494;1225442;1248983,25;1291094,89;1441184,51;1465518,06;
RR;14;Roraima;174998,05;195557;211084;235668;263850;291941;329320;357092;415507;455590;471362;475921;482444,75;460935,59;533725,48;585650,83;
RS;43;Rio Grande do Sul;5599364,85;5968389;6109256;6417036;6753203;6956044;7336379;7750414;8516881;8054253,71;8272725;8323363;8699144,85;8845283,97;9194793,72;9116806,86;
SC;42;Santa Catarina;3481476,19;3748457;3854283;4135527;4349326;4469182;4699408;4934641;5398275;5261785;5438124;5604756;5744406,55;6101512,3;6458417;6616957,9;
SE;28;Sergipe;584305,58;590221;651111;733993;803381;853928;890460;979186;1032619;1065417;1085788;1074838;1111204,79;1212540,38;1281698,55;1314225,01;
SP;35;São Paulo;27772159,88;29349812;31300993;32871030;34214106;35917903;37680313;38782678;39437444;38005633;38091289;38968848;39924153,43;40792025,48;42029848,69;42519487,97;
TO;17;Tocantins;356737,28;385165;407232;443597;520227;543719;599598;695419;755458;821996;913667;937387;964014,57;1050334,63;1121932,88;1119713,73;
