Despesas por função - empenhada - estadual
Sigla;Código;Estado;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
AC;12;Acre;4657789519,18;5156552725,91;5793050231,74;5231991530,18;5432073338,26;6084416806,3;6589320706,64;6379221483,93;6881997454,84;7878060958,75;
AL;27;Alagoas;6547016410,96;7092907991,05;8154687440,53;8028587777,46;10022201702,83;10460634917,11;10398455487,5;9307829892,01;10411625968;14620851573,38;
AM;13;Amazonas;12159258984,53;14569525924,39;15565294328,96;14477492379,54;14997260040,99;15324896557,05;17630658179,52;19301353338,6;21576305962,97;24878570915,43;
AP;16;Amapá;3801176603,57;4481367347,76;4498370609,15;4106034601,23;4091210019,22;4224464088,29;4661309648,16;5149851097,36;5406817755,01;5954255292,83;
BA;29;Bahia;30380176908,56;34237808085,76;36314445128,36;39435478235;42762117273,84;45570160003,8;46797949778,32;48888514323,07;49033692296,35;56582124344,63;
CE;23;Ceará;16638191564,83;18395140660,6;21783515154,38;21508134927,54;23266915758,59;24608352182,76;26980424450,88;27762603422,19;28534870390,99;32891618159,15;
DF;53;Distrito Federal;15817455963,77;18133089572,58;19008772982,66;27707119466,71;26417375678,43;21990464684,9;24837308242,98;24910255086,83;25395113308,82;29529448394,84;
ES;32;Espírito Santo;12821997736,39;13721665464,74;15156024059,43;14198748428,83;14015285276,56;14392338001,88;16114437956,4;16815378332,47;17696916561,42;18762339557,94;
GO;52;Goiás;17441751026,13;18606248083,17;21521913043,87;21853389628,42;21791515776,38;24248380342,33;25806670577,75;29474078173,31;28939396289,04;34039050500,63;
MA;21;Maranhão;11233205160,48;14093110891,85;13657393710,44;14192235965,33;15917374158,96;17627170755,74;19269528545,85;16932064856,91;17944402890,78;21175224550,8;
MG;31;Minas Gerais;62861878669,92;71906529761,8;75512924847,61;85119036085,58;88129098217,78;98391669163,23;102986641548,54;108180584581,07;107107557289,7;128891804746,54;
MS;50;Mato Grosso do Sul;10084982226,23;11712097316,76;13284476545,74;14161080789,52;12261227227,62;14506915374,04;14720730799,73;15066291275,1;15365474321,17;18602311882,5;
MT;51;Mato Grosso;13146255722,61;12721613392,81;13734135118,61;14353056092,63;17024984160,26;18187363270,09;18680987492,42;19875228451,46;19912960920,47;26257782801,46;
PA;15;Pará;14909531343,49;16616549242,41;18698982751,49;20790876876,11;21485201833,31;22533470045,47;25448413086,29;26056216823,83;30673331386,15;34976524911,48;
PB;25;Paraíba;7629023452,51;8559088409,37;9346939499,04;9555872108,59;9973479954,22;10074700042,66;10507521304,72;10728902955,23;10913403879,06;12923520303,06;
PE;26;Pernambuco;24469913940,11;27132767346,56;29663840763,45;28203579244,57;30092027993,59;33320486444,45;34759871122,13;37179997587,88;38574999428,84;42665924429,83;
PI;22;Piauí;6853769046,31;7351676058,39;7472553289,14;7848427828,48;9443309547,25;9676736318,35;10551243597,09;12667220950,09;12475050142,67;14438027692,77;
PR;41;Paraná;28490682393,43;32047015544,58;34907684991,27;36414833044,33;51324695033;55534402974,83;51230805538,73;52072626857,57;47088795995,77;52151955944,59;
RJ;33;Rio de Janeiro;63819246971,5;71663151028,69;75704294422,89;65978034654,36;60832044102,88;67965548697,57;66698955677,94;66951046316,05;64525574733,63;77676310501,51;
RN;24;Rio Grande do Norte;8685788561,99;9873887196,34;10106870179,85;11011799201,06;10154993407,22;11330957553,33;10697819148,01;13364620492,04;13453525377,26;15047708084,86;
RO;11;Rondônia;5920640313,06;6479108791,86;6726560345,46;6222163691,25;6471471234,26;7085530016,8;7526529882,12;7615503627,23;8358039066,91;9966529136,78;
RR;14;Roraima;2812477154,11;3879887764,72;2791387639,33;2831810414,56;3384683739,14;3865094271,39;3231310972,25;3769752370,01;3992177305,78;5226453847,32;
RS;43;Rio Grande do Sul;40203861122,88;45762263619,71;51675467289,26;55155651959,46;57487349344,49;62476279343,64;69355126284,23;73861635102,88;64557893763,03;70969988186,38;
SC;42;Santa Catarina;18088824526,47;19254339864,11;21230113745,18;22979636740,42;24179579471,5;25595103379,18;26943046391,5;28037308824,71;28088984702,44;33745775091,98;
SE;28;Sergipe;6555375374,54;6988408508,08;7438093120,41;7509075204;7777070797,38;8494927199,96;8787820831,18;9562329589,97;9939628197,32;11105258265,08;
SP;35;São Paulo;173106698940,169;197870171922,07;209842014024;220506971963,47;219266294160,31;231982243691,76;242037293542,4;257997692438,95;258458104352,29;299233949015,97;
TO;17;Tocantins;5782760787,4;6626509400,43;7507435286,92;7486049495,86;8600161677,83;8929456438,36;8527014129,56;9129341871,32;10447038679,53;11634288029,99;
