Despesas por função - empenhada - municipal
Sigla;Código;Estado;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
AC;12;Acre;778593433,18;866852252,12;990219538,02;1086510165,76;1167171842,37;1169503593,95;1288385831,27;1398040445,43;1733823848,93;1694675811,18;
AL;27;Alagoas;3349931703,7;3966807304,1;4535786066,79;5047362771,8;5618655484,55;5695021501,19;6319954745,81;7036357373,95;7858841366,5;8333017750,89;
AM;13;Amazonas;3730622038,19;4457842093,95;5237028799,64;5027329690,84;5540284793,77;5770256415,37;6569933098,92;8051355945,91;9630244171,12;10035942999,36;
AP;16;Amapá;606387330,35;575529684,309999;732172922,28;897678187,71;757613713,08;921501861,61;1016867008,1;1165855857,92;1495871969,34;1548514103,05;
BA;29;Bahia;14469167560,87;17085756929,6;18680325243,18;20514829810,49;21857690925,36;23166769681,84;25581674477,54;27197046870,31;30650425857,61;32367650502,82;
CE;23;Ceará;9562725237,39;10397280989,97;12015080426,88;12515455169,07;14025408953,03;14611166382,75;15946990160,11;17616545957,67;20154509952,76;21791380847,61;
DF;53;Distrito Federal;;;;;;;;;;;
ES;32;Espírito Santo;6245484330,58;6176901072,74;6281360186,65;7257142799,16;7570095246,23;7155087140,82;7828380550,53;8878209303,94;9964528833,82001;10078949416,54;
GO;52;Goiás;8359232561,07;9219148379,76;10240584240,94;11343192416,43;12535980552,17;12825954252,79;13444225633,78;14996935898,67;17231147642,45;18751987231,29;
MA;21;Maranhão;6731308935,74;7586649954,81999;9301485630,1;8783724904,4;9419143001,65;10530609026,45;11840589102,91;13191174283,39;14697388855,57;16225427098,41;
MG;31;Minas Gerais;27211327477,7;30150341582,25;32749242666,34;35085762947,89;36780540401,56;38328435207,18;41101500039,29;44186877853,69;52354347792,91;56885642344,02;
MS;50;Mato Grosso do Sul;4478080936,39;4816928820;5166089288,07;6041556522,56;6547178114,77;6662490008,75;7454032824,54;8386474469,22;9484847464,24;10545435564,69;
MT;51;Mato Grosso;4318792364,77;4710327667,18;5205271106,33;5993392426,07;6941886144,87;7164842855,63;8070115942,57;8828492040,74;10383450798,67;11583849814,18;
PA;15;Pará;7382472806,26;9421605318,68001;10404230451,49;9698892953,02999;11225944469,54;12992861545,9;14360971260,87;15798120927,52;18011323025,84;19826265554,84;
PB;25;Paraíba;4843331830,69;5329757825,51;5890371334,84;6231078186,55;6740889934,01;7154787834,12;7851851387,17;8490653643,23;9514648506,5;10689854291,01;
PE;26;Pernambuco;9369574055,36;11397414652,71;12445398687,36;13456189543,42;14212370514,95;15068204829,47;16539106554,91;17641089415,64;19467555220,68;20860885928,8;
PI;22;Piauí;3227634490,52;4076799417,62;4682351073,63;4995016063,01999;5727628841,63;5991132605,47001;6474941250,8;6997092523,02;7858736050,01;8438349629,87;
PR;41;Paraná;14149912352,77;16607215614,12;18741587934,28;20976364805,45;23786317512,05;24090823849,97;27330049367,92;29332642684,04;31437505007,55;32867280159,51;
RJ;33;Rio de Janeiro;27558202650,7;33055327851,44;34916577020,13;40010669722,09;41583978216,72;39912182517,16;42102466792,88;46945620872,29;49878740382,19;53646709957,98;
RN;24;Rio Grande do Norte;3737985934,94;4366535073,46;5329309327,82;5123151039,18;5521671300,82;5621696013,25;6118336354,14;6652023583,2;7483454744,68;8149258624,34;
RO;11;Rondônia;2194189510,01;2330096620,25;2398855321,68;2795980242,45;2889106558,72;2911987663,73;3193016114,22;3521876427;3961916590,54;4484037958,64;
RR;14;Roraima;590524883,719999;617530462,62;933113963,26;897713324,24;930669383,04;1109399541,3;1283848367,99;1457698300,03;1616326025,7;1556961098,09;
RS;43;Rio Grande do Sul;16263424980,58;18690746117,78;20248192486,6;22699578214;25001559419,1;26127987727,9;28018892751,28;30561187476,05;33173264750,93;36399018656,67;
SC;42;Santa Catarina;10967034323,83;11471560420,75;12440643637,19;14228963926,81;15639834775,22;16326619457,68;18275611293,26;20663428377,38;22700313625,39;24730981524,46;
SE;28;Sergipe;2533375889,93;2866919324,02;3199489738,55;3368139090,87;3562237269,02;3718169223,85;4470807549,34;4665084867,81;4905933613,47;5467178458,79;
SP;35;São Paulo;67058528103,91;76282816864,74;89145774696,4799;99402036814,69;105944229629,66;108387033502,18;117478045841,97;129539646999,83;141117618219,79;154627042196,22;
TO;17;Tocantins;1902502283,23;1970501561,64;2215893644,18;2458713982,19;2841240030,51;3012136545,3;3350576793,27;3480498692;4383145540,44;4756502317,42;
