Despesa por função - transporte - empenhada - estadual
Sigla;Código;Estado;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
AC;12;Acre;298964966,65;273397612,36;243492340,99;112174797;88453284,51;69250609,02;60532010,01;44545584,2;125197805,86;214558016,66;
AL;27;Alagoas;202734588,95;176904203,9;376526650,38;89165115,68;169840225,6;277265487,94;429093167,21;524291946,82;622256129,9;1810304493,38;
AM;13;Amazonas;201488102,67;306469914,38;284298842,54;104303041,25;87052200,49;188007475,55;120120851,36;287260261,81;286140664,64;449893184,6;
AP;16;Amapá;156090848,18;297201796,63;213269366,88;66461122,04;90942552,81;190156164,86;106309197,87;149416488,21;163008775,56;204650166,06;
BA;29;Bahia;636557128,73;492388831,74;662112240,16;480927971,45;466564281,05;561335188,46;941014837,52;714138425,66;552293661,48;1159615454,77;
CE;23;Ceará;827723600,42;1050583686,21;1536298532,66;1546640294,71;1253856912,65;1175941155,99;1411915090,52;1300035800,35;1400217525,93;1516211685,57;
DF;53;Distrito Federal;915223016,24;1619052360,87;1257699195,19;1306109208,87;1339209813,61;1263788742,33;1543199707,08;1468253406,43;1513861111,56;1817593369,1;
ES;32;Espírito Santo;638931740,59;844757133,91;945225621,29;450380176,74;449115377,91;461719002,24;525700147,13;725318467,81;1196155370,02;1383941938,69;
GO;52;Goiás;666375612,8;1252883628,38;1702265041,52;1070516697,11;552912849,63;1179477395,36;788566311,06;302470935,45;373980824,28;1954583609,28;
MA;21;Maranhão;448283076,12;377028960,91;594205339,14;489740083,75;447549566,82;490548042,42;474661027,64;460207622,32;447529836,54;959731722,09;
MG;31;Minas Gerais;1184323407,15;1837433279,88;1905268632,55;958306095,88;999674503,97;921408677,22;803325423,05;553873020,65;533037117,58;1233353002,23;
MS;50;Mato Grosso do Sul;622032632,67;779883704,82;1352562484,93;405920704,11;649752918,68;853382201,31;817743818,78;733789134,52;940764015,58;1482302703,71;
MT;51;Mato Grosso;418232946,72;726889108,49;926947269,92;615864564,17;792926616,41;1207379215,92;766176787,81;682621645,7;962101996,19;2156708373,3;
PA;15;Pará;357281060,01;573079932,37;561904477,69;691453762,17;397001697,79;487761489,8;832898183,41;764869915,76;819855340,97;1349148156,37;
PB;25;Paraíba;210741133,44;261431108,24;291705227,93;205073571,66;231897235,15;157138713,16;176271299,76;126894040,77;133173864,83;277353140,29;
PE;26;Pernambuco;1252158994,1;1065550963,16;802112773,15;532885575,13;628550955,18;644984550;664382260,46;516315240,86;474856917,8;805645434,55;
PI;22;Piauí;314698318,85;474521265,48;359769401,62;214960806,62;374147227,46;286380654,17;242136800,02;199373384,26;384055905,83;849138157,81;
PR;41;Paraná;749761093,14;1016323958,62;738863045,48;657409597,68;1048271907,75;1683043672,71;1251879670,28;986120755,52;1419846064,21;1822833139,52;
RJ;33;Rio de Janeiro;2432200120,86;3526987488,72;3930263078,03;5222262108,99;2124538575,16;995423048,95;1038754562,84;781292686,1;589321770,81;1037620532,75;
RN;24;Rio Grande do Norte;180760719,99;151401962,75;66843559,99;53187690,5;93955789,04;102126653,64;162783368,98;51254648,91;178511284,49;197869128,59;
RO;11;Rondônia;245625046,23;377522840,07;234684845,72;174245328,15;172277187,63;246935627,54;186551557,51;139782156,05;431908345,55;595960502,45;
RR;14;Roraima;333294795,56;169787938,81;132625468,71;127916755,44;78266302,54;108142959,33;40564360,64;72762685,52;71739657,17;236412108,07;
RS;43;Rio Grande do Sul;761410340,65;649055832,73;679525403,11;544332116,93;739124972,41;833658232,83;986068646,18;694344434,88;548019218,19;1582045635,93;
SC;42;Santa Catarina;502777271,74;682275721;968114247,85;975087900,26;1194712890,09;1284186107,3;893577863,73;614882114,98;592703098,38;1023717185,42;
SE;28;Sergipe;181405715,18;125543693,2;143934905,7;117988804,8;120064227,95;98383815,78;151679916;84661191,19;136916443,56;252862346,03;
SP;35;São Paulo;9126708271,02;14139690446,8;13914154959,14;11631445743,84;12970303548,45;13759452747,46;10045391456,69;9483065500,08;10043510646,25;13759974268,21;
TO;17;Tocantins;249200336,05;409032781,55;679312070,43;197381290,51;384729948,79;290820597,14;217726628,2;192169337,47;305670437,07;529521685,07;
