Despesa por função - transporte - empenhada - municipal
Sigla;Código;Estado;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
AC;12;Acre;11929357,64;11958088,07;21626164,18;22278115,31;24877373,65;33822450,71;34167367,65;37320881,97;47634437,86;34474150,27;
AL;27;Alagoas;27764575,67;20320336,89;31924688;32468761,18;39179501,61;40930126,94;56426177,54;71685763,76;93447265,74;100865835,19;
AM;13;Amazonas;28203419,94;33922008,17;57323009,01;24231366,97;22391073,48;41976320,15;59396638,21;23479963,77;219589391,31;340053140,13;
AP;16;Amapá;13246380,89;14324506,15;23140799,08;16079691,64;13907406,35;18389653,6;23657072,49;17441687,64;7819720,48;18596952,02;
BA;29;Bahia;289526392,84;279764106,55;348733147,83;344540239,68;369247588,46;360541509,51;254170199,32;336084784,66;605354729,7;534707465,96;
CE;23;Ceará;110356983,13;57350805,89;91957406,62;65604020,53;90716982,63;61759596,16;138424997,44;130185480,42;172606633,72;178338720,89;
DF;53;Distrito Federal;;;;;;;;;;;
ES;32;Espírito Santo;113379817,33;87697181,35;115186040,6;76510638,33;76638215,95;58651628,57;73292084,43;84075244,98;81185475,64;84980597,91;
GO;52;Goiás;358741136,27;347886954,12;313502654,96;425449443,13;381744392,44;316110444,5;379190099,83;549380950,22;721372329,84;692431889,37;
MA;21;Maranhão;498516856,1;280702469,05;390205943,58;159042745,57;157543519,36;181191137,95;176045433,89;207104619,27;317585326,66;289389100,87;
MG;31;Minas Gerais;1023336194,8;1099818522,49;1145544417,25;962894578,790001;953410417,679999;953858132,449999;1026518748,4;1163387588,47;1592034276,08;1641445927,18;
MS;50;Mato Grosso do Sul;467725081,94;304095095,65;382707678,55;357711721,17;254231417,85;250448421,58;292245958,35;346024220,67;396531150,97;411037577,4;
MT;51;Mato Grosso;177083296,8;178628628,79;204509743,91;318948517,29;408374537,91;334383246,09;379198123,84;435267240,6;610191689,1;688584183,05;
PA;15;Pará;346757098,48;266683026,3;399860810,34;372494462,72;441491688,86;380299061,13;384282627,28;405996475,32;602975886,14;672479484,27;
PB;25;Paraíba;64429288,17;41468209,9;34618445,02;24436021,42;30765453,55;37569579,5;40759359,25;52043731,32;55627180,91;62489640,65;
PE;26;Pernambuco;61214121,59;50190764,33;66699046,78;69230514,31;67380057,14;83686832,05;70256281,36;75129289,98;116396156,18;96813127,04;
PI;22;Piauí;49712022,07;34044697,98;28395314,35;30071893,46;50518435,55;45538121,7;52593017,62;44916062,6;83606557,08;53879972,86;
PR;41;Paraná;768100370,16;665618190,16;846800785,18;871282692,1;1056184259,64;864634357,64;1186516277,02;1262823862,45;1443635987,67;1346805450,57;
RJ;33;Rio de Janeiro;598122532,88;635048437,49;558004034,03;673316229,78;783393372,67;492387852,06;615181945,37;521770466,8;494210995,41;596886720,55;
RN;24;Rio Grande do Norte;21495376,18;16240607,8;20002199,77;22451723,45;27779743,12;23853221,7;28792152,09;30194181,47;43273091,51;43935549,51;
RO;11;Rondônia;100866111,46;89044868,97;113139503,97;114447556,21;103462461,81;90729470,49;95672292,19;113370861,3;120124326,9;164759536,61;
RR;14;Roraima;16660166,82;8888399,74;18717224,71;17338439,91;8946314,53;8932117,57;31817887,84;34496711,56;47109059,32;35260324,54;
RS;43;Rio Grande do Sul;786290013,73;655863282,36;718457425,31;832359364,1;969982109,28;782202619,05;842373592,97;1018489045,98;1328271331,41;1308012601,58;
SC;42;Santa Catarina;738259423,34;592977299,65;736818013,79;740901435,28;729803788,01;646858174,85;703030403,800001;919047081,33;1171647503,73;1133056577,1;
SE;28;Sergipe;16305602,43;44185534,67;29724322,53;25458048,58;34340084,21;28432997,36;72948996,62;88137772,5;80748165,43;76646183,29;
SP;35;São Paulo;3368207133,41;3902798236,39;1295730828,46;5180388458,52;5745200813,78;5758813438,08;6900639729,56;7292402337,04;7781689343,68;7435073037,91;
TO;17;Tocantins;64632549,35;52913029,22;54893097,35;63517742,05;78727705,46;64547431,37;64225277,51;78125142,21;137240742,62;126474635,21;
