PIB Estadual - preços de mercado (preços de 2010)
Sigla;Código;Estado;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;
AC;12;Acre;4863191,70989384;5162918,95225187;5644716,55658037;5623480,25045121;5847495,66670301;6186073,01314031;6280230,32670671;6908242,24526315;7458515,05641877;8031806,82615391;8342356;8262140,24451202;8670638,34955019;9128245,04241888;9928216,5701109;9342409,78559723;8725471,25672021;8733872,87131381;8977965,75983122;8782023,83762156;8694793,53422665;9977503,52855799;10179758,8583722;10749556,6968295;
AL;27;Alagoas;17537580,9754177;17705296,7908692;21917087,8816835;21020451,4659344;21703876,2447458;22273357,3625295;23434865,6149026;25150456,8284146;25902817,0404978;26219352,3589599;27133038;29226119,3129683;29635360,3972547;29660635,938435;30226446,4505404;31798266,3021346;31382183,0723934;32340531,6599633;31864493,7395706;33129898,2997304;33352694,9249405;35600488,0217131;32705149,13583;36670514,1826874;
AM;13;Amazonas;37811751,7045611;37651010,478878;41971725,7856832;43063406,2619063;48045075,5812774;48879020,3399355;53796687,7061703;55031025,8916451;55983487,1539555;54818666,3853311;60877123;65302179,017528;61786838,4078288;66072566,7577739;63933752,5420247;59367775,3903332;56485422,571195;57055373,1491651;58624360,6598745;60783613,9872341;61224796,3840911;61398164,9499433;62404394,5155817;66152030,4656495;
AP;16;Amapá;5320892,50270006;5844493,4146539;6028544,99487209;5683359,42177499;5910447,36916584;6194457,60573224;7114146,61189105;7609867,44082384;8087004,34051824;8121619,29846453;8237795;8686623,23545705;9519870,28357193;10154169,3041079;9885125,71223398;9505965,02571427;9098422,50117061;9473661,82466362;9835339,09259469;9830833,45211867;9746390,25091681;9382530,22640186;10153168,2422752;11456399,1893738;
BA;29;Bahia;105023873,145637;106580129,357558;111786695,748987;111852758,462643;120429456,38156;127001452,758509;128449366,888253;138375057,433932;141563564,162994;149561842,883677;154419547;153808144,647446;156148361,739942;162966719,215508;165188727,690121;168049023,053763;164139890,370416;164437170,974047;167622997,885269;164762782,809779;161121731,887272;164600609,830074;173121380,109526;176215122,909508;
CE;23;Ceará;51034491,8803018;51172497,9734889;54558495,2967682;54428283,4891641;57008117,2507363;59061045,7642911;62643675,75616;64319744,5396049;70295248,5230591;72860437,8239777;79336299;82807416,6794937;82938504,8381802;86745552,8968216;92987902,5182808;89584916,4943225;87813047,3416379;90515884,0694236;91297891,39887;91907924,4098546;88082953,9697329;90971449,7445909;91839451,5858577;94954112,8173461;
DF;53;Distrito Federal;104914788,46196;107471884,414547;102400477,358607;97336121,4626902;103654667,378721;108935954,036644;114053011,946404;118218602,415754;128336689,6638;134795963,34718;144174102;142698451,700468;140350548,769499;139945049,301995;145641743,327246;147865594,845454;149422861,056233;149750006,781924;149221954,680417;153735093,97348;140291067,781527;133944215,449231;141365907,768203;149508684,205144;
ES;32;Espírito Santo;52482544,7862722;50757223,5486559;51386218,0926109;52482910,6016575;61399641,7369857;67635696,3137746;72024733,1553289;76773485,1281453;83880124,4845431;75045605,0375012;85310285;97837517,8528095;99938510,9660824;93299242,4222268;95001260,0391014;82546036,3737945;69315613,3867534;69391489,3484808;80239481,6218088;77170248,0734549;73059699,0954894;86981138,8302574;78488340,2692767;85791680,1066991;
GO;52;Goiás;59255901,2406927;62397448,5355874;73385973,4122145;75859087,3607658;78971749,4316183;77481047,7651864;82682888,2522262;90382183,3785811;95895193,2500903;100688138,731113;106770109;111981441,519257;118675066,026349;120368964,457763;121728551,639224;119075759,889722;115305404,030673;117456665,64436;114591985,068331;117246628,650493;118274240,697115;125861218,450733;136978862,062575;137683484,989146;
MA;21;Maranhão;26883784,7616668;27991863,5213323;30251557,6110046;32474555,5020839;34193500,5037167;36110578,9685473;40025183,6239802;38895122,1644758;44135434,7749239;44447682,4147143;46309633;48139044,2138152;51735227,7575412;53855578,103454;56684851,3630758;53818215,5389229;54119332,2552688;54792845,8602151;57494297,9327402;54692304,9327845;56420932,4433895;58340502,6666284;60103548,7170123;61013525,8460894;
