Programa Bolsa Família (PBF) - valor total dos benefícios em dezembro
Sigla;Código;Estado;2012;2013;2014;2016;2017;2018;2019;2020;2021;
AC;12;Acre;13541254;16150692;18666421;21613287;22170410;24004401;23844619;24790463;28141713;
AL;27;Alagoas;64992708;68597362;75824150;74168706;75296822;79428048;76202903;79665294;93261844;
AM;13;Amazonas;57464682;64639062;73645993;83929449;86896011;93845061;90215464;95075503;108584862;
AP;16;Amapá;9427588;9710908;11158658;13266253;14807768;17155390;17204525;17655386;20195936;
BA;29;Bahia;262704562;276757279;307377376;324058076;329339879;345273843;332690778;347601624;401903252;
CE;23;Ceará;160720596;167553250;183823035;186400069;186384232;200068570;194843657;206625311;240479569;
DF;53;Distrito Federal;12228728;11877882;12641683;13681214;12782142;12720508;12284381;15303859;19980925;
ES;32;Espírito Santo;26426172;26940432;28455280;28863588;27495746;31172569;29906969;35483762;41995563;
GO;52;Goiás;46835652;47205258;51496847;47531363;46679985;48455268;44808080;50860430;60555942;
MA;21;Maranhão;154767547;168810710;191177016;202413886;204102571;211014687;201890971;205909664;235884258;
MG;31;Minas Gerais;163833362;166334536;179946751;177423204;178875247;188430813;179616050;200638273;239057048;
MS;50;Mato Grosso do Sul;20249252;21484322;23564831;22479070;21402111;22972619;21022936;24396652;28631169;
MT;51;Mato Grosso;25480942;26663092;29296813;26790972;25899819;26926718;24648134;28355049;34289755;
PA;15;Pará;131232908;145097327;166186740;181398146;183218549;194953079;188501912;195638999;227589982;
PB;25;Paraíba;74760532;81696718;94524094;99946329;100128071;105434411;102840670;105862543;120889243;
PE;26;Pernambuco;162128908;167728046;186267953;192995403;203359369;215310797;210476034;219038964;252938249;
PI;22;Piauí;70596431;80261706;90124651;93871904;90456492;95067122;93293264;96331577;110114262;
PR;41;Paraná;58209925;56765020;59476403;56493403;56450589;61071252;55838776;65610513;79088200;
RJ;33;Rio de Janeiro;111250132;121441904;131587351;136373099;140014608;158598080;154134486;176150097;207190116;
RN;24;Rio Grande do Norte;51677230;56010336;62441070;63424746;61069695;66237305;64609592;69097020;80012738;
RO;11;Rondônia;16871250;16395622;17192400;13966273;12421276;12584145;11116510;13162222;15412094;
RR;14;Roraima;7706681;8154152;9421083;9743051;8955134;9974460;9751556;11319734;12656787;
RS;43;Rio Grande do Sul;63581600;64400286;68180657;62382112;58956308;62532644;57131513;67364288;80017146;
SC;42;Santa Catarina;20315814;20151300;21314437;19940162;19702858;21221556;19008002;23514619;29029828;
SE;28;Sergipe;38483954;38227566;42766649;43163098;46298430;49823650;48341887;49453409;57103069;
SP;35;São Paulo;166064036;187403359;205277723;237568734;245225037;264549569;240361837;282735803;339241964;
TO;17;Tocantins;21179118;21747820;23764254;23157898;22578300;22789513;21160501;23058838;26979493;
