População de 6 a 17 anos de idade  (Atlas DH - Pnad Contínua/A)
Sigla;Código;Estado;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
AC;12;Acre;213475;209410;208700;221095;220566;206814;187688;193404;192152;187637;
AL;27;Alagoas;762216;760717;759508;726022;709811;685065;672658;688313;701343;633527;
AM;13;Amazonas;950932;931354;946824;907746;914720;897208;875938;913012;948868;881685;
AP;16;Amapá;198304;192662;197502;190010;193842;179364;192191;189735;189412;178854;
BA;29;Bahia;3084160;3074231;3042075;3036780;2965512;2854952;2801565;2733528;2696329;2622182;
CE;23;Ceará;1927881;1863632;1838370;1800845;1776754;1709552;1673720;1640952;1575484;1732097;
DF;53;Distrito Federal;524544;519239;513267;504409;510845;529801;517263;520857;521457;509706;
ES;32;Espírito Santo;719083;708482;700431;696250;673133;691283;690871;669822;654066;698659;
GO;52;Goiás;1338442;1239481;1235724;1239727;1246988;1239259;1286193;1207595;1239455;1193970;
MA;21;Maranhão;1729871;1674091;1736283;1709264;1623978;1636171;1614672;1591392;1580313;1587262;
MG;31;Minas Gerais;3897715;3835368;3825856;3566681;3524610;3520476;3492906;3450536;3282752;3377488;
MS;50;Mato Grosso do Sul;504038;520812;504255;494056;485875;486720;474364;502101;492656;500994;
MT;51;Mato Grosso;657785;625354;661131;647986;648592;652822;620136;643879;677361;636082;
PA;15;Pará;1977069;1987259;1978896;1930528;1887282;1914177;1904383;1766827;1718551;1793216;
PB;25;Paraíba;820801;824871;793809;797594;786486;754081;756814;745419;752559;732449;
PE;26;Pernambuco;2011329;1906332;1858343;1774479;1782428;1828148;1767421;1689855;1701187;1729199;
PI;22;Piauí;731618;675432;673987;668500;664987;652777;622156;602856;608691;614162;
PR;41;Paraná;2040071;2050666;1996263;2012101;1991983;1924053;1898122;1879634;1873119;1949690;
RJ;33;Rio de Janeiro;2910898;2944148;2745873;2755495;2629095;2540827;2509523;2504369;2525780;2541181;
RN;24;Rio Grande do Norte;687287;676217;686727;656107;655212;638723;643750;628206;632254;627342;
RO;11;Rondônia;376608;371709;361483;367596;349504;345083;331998;324407;326311;342967;
RR;14;Roraima;110266;111619;109782;113227;105349;114496;109628;122413;130956;118355;
RS;43;Rio Grande do Sul;2037768;1874002;1899861;1779051;1830685;1751137;1745121;1662206;1648936;1650166;
SC;42;Santa Catarina;1199430;1182292;1142075;1164813;1133772;1082512;1068725;1116137;1121721;1116329;
SE;28;Sergipe;462453;490751;469852;450288;430654;444417;449217;438905;438553;443113;
SP;35;São Paulo;7579443;7472970;7534464;7637913;7611116;7368452;7252971;7254554;7189102;7016800;
TO;17;Tocantins;355358;332147;344424;340901;341158;316749;300219;318347;330654;293552;
