Poupança
Sigla;Código;Estado;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
AC;12;Acre;618593,348202055;666556,758303225;742280,747621064;652499,363791468;638640,112983306;635996,393142757;692912,464882558;721040,128098108;923024,172455463;798979,812062995;
AL;27;Alagoas;3324982,88832368;3547080,5297149;3585042,64113884;3519912,53260609;3313639,20721135;3394589,33619036;3558609,40135426;3627967,68158569;4365660,86153094;3886286,18631617;
AM;13;Amazonas;2847032,62375111;3099566,8846941;3330651,07222867;2993142,01717331;2670575,25662568;2883319,23159646;3017229,67895851;3017230,78733155;3638293,88250614;3304154,70570187;
AP;16;Amapá;472371,694693619;598662,265776241;504111,505026312;510898,144289137;486186,660753292;482900,552683356;509889,75632943;525724,474298541;719198,650878037;615578,420003801;
BA;29;Bahia;17204931,7591584;19375171,3890475;20604814,9392731;19858603,7549552;18820007,7474767;19491306,7449131;20543916,5904895;20936797,6049365;24704685,264465;21551470,3270822;
CE;23;Ceará;8768238,85579279;9720229,89256461;10434204,8865565;9958058,55472891;9641553,50366738;10206680,5942059;10585597,1916559;10823812,3064129;12680313,9675586;10559247,3712573;
DF;53;Distrito Federal;9687777,33579557;11730901,7014854;11661961,6363257;10620400,8159405;10019421,0885526;10912167,4330545;12025415,4700465;12692995,533959;15543722,3839909;14523764,6156651;
ES;32;Espírito Santo;7802160,50330868;8628772,66809412;8997592,59256129;8246362,99098257;7676946,17331693;7901748,93437876;8309014,69365707;8421435,29858331;9800551,88453508;9293474,17861482;
GO;52;Goiás;9239086,35422528;10855718,5639469;11423849,9305824;10498243,0687028;10029724,1925162;10679162,5590896;11410932,0565386;11904583,3775467;14345734,7471018;13007211,1084969;
MA;21;Maranhão;4129859,74879952;4534716,25729639;4890588,9640232;4906612,38905577;4817233,06540208;5045223,58787756;5253207,40003543;5364703,34530614;6795434,00725403;5814266,99480206;
MG;31;Minas Gerais;42593639,6563351;47797824,2195427;49700769,5990086;46544078,4000086;44289882,9755457;46145410,4991232;48241392,6101074;49892568,814564;56832068,5373699;52242934,0434853;
MS;50;Mato Grosso do Sul;3107790,14508702;3521151,07914276;3692309,08898362;3474959,56300697;3277401,48180809;3442047,20383087;3633893,23438021;3640901,01021136;4133847,84720835;3788808,05161881;
MT;51;Mato Grosso;3270492,24849827;3703907,02830858;3922090,38560298;3751838,06288277;3593217,90370872;3806608,24094033;4045040,95729911;4126927,40310449;4923698,18094564;4506939,80808741;
PA;15;Pará;5117512,65988922;5694145,0787605;6031809,56994172;5861641,28794282;5447143,7143151;5592859,60891924;5933055,86418824;6187668,14364311;7553277,75618669;6734246,47398582;
PB;25;Paraíba;4279384,39258716;4700495,15425096;4933258,99077212;4739805,23808526;4625796,95278008;4815009,96303375;5000027,52447924;5123823,4976266;6076466,40649847;5193973,22095405;
PE;26;Pernambuco;11513860,9556114;12672676,0347147;13597635,0914957;12748765,1093901;11711610,4827256;12340294,5012467;12766406,1176618;12982798,6032745;14883392,5256997;12942085,3099205;
PI;22;Piauí;3047738,93021206;3456931,17317617;3628424,41505058;3601219,05327823;3576537,6623933;3754349,68382428;3889824,4147796;3989629,49008666;5004502,44839604;4278841,34213899;
PR;41;Paraná;24935683,6486462;28134468,6404209;28560585,7092848;26283231,8789787;24619837,6383687;25938865,8856868;27477858,2965443;27653516,766733;31038619,4410957;28058272,0645242;
RJ;33;Rio de Janeiro;57693416,711523;64497752,2574311;65445628,9340226;59719604,9390321;55175237,0864823;56581382,910469;58645913,8942139;58892735,00241;62968326,9860064;56480928,031032;
RN;24;Rio Grande do Norte;3338127,34830384;3709722,92694493;3966472,49680631;3853460,05348546;3709152,40615779;3869110,06210274;4057810,88647848;4060473,05932355;4859162,47371607;4156530,50700313;
RO;11;Rondônia;1634068,40628336;1869085,80794085;1973320,23232776;1878887,49413929;1808656,75579946;1860913,4816502;1994219,44626471;1966349,64287413;2372878,67063592;2134902,71482014;
RR;14;Roraima;444921,920077933;546035,82124242;485388,74268144;447384,412163821;395395,4858035;404400,892929223;431993,838179926;490071,832549789;603175,424441209;597703,620685723;
RS;43;Rio Grande do Sul;33134470,438744;36966380,109604;37485652,2562918;35522303,3434939;34402636,5115581;37214594,0439325;40451352,9557287;41558159,9866861;46693103,1549488;43869506,5138916;
SC;42;Santa Catarina;17049195,2882871;19103150,4712095;19467398,6805669;18288901,5425106;17477989,0224416;18364733,1238888;19208494,0117275;19394278,3379825;21430475,684987;19420060,2097527;
SE;28;Sergipe;3181092,09634408;3472974,7703189;3708905,72166731;3483571,73726583;3411290,73432791;3521772,90969264;3707144,39227205;3785692,24462382;4470308,99575505;3915180,08763697;
SP;35;São Paulo;142761843,001791;160112652,088643;162934760,037706;145537999,898773;134788454,91268;141749806,848894;148756444,501549;150555001,862822;175575844,875574;154328090,849815;
TO;17;Tocantins;1178755,76710033;1327542,25547504;1461779,87122288;1434973,90246298;1333673,49663369;1388783,07664299;1544285,5300345;1556638,41697813;2000451,99552473;1870597,04728014;
