t,Gasoline,Ethanol,Flex,Electric,Diesel,a,b,c,d,e
1957,9478,-,-,-,-,1532,-,-,-,-
1958,20677,-,-,-,-,9532,-,-,-,-
1959,39554,-,-,-,466,16339,-,-,-,-
1960,68452,-,-,-,310,20735,-,-,-,-
1961,86859,-,-,-,4,28595,-,-,-,-
1962,116666,-,-,-,538,33405,-,-,-,-
1963,120338,-,-,-,1224,27976,-,-,-,265
1964,128857,-,-,-,1578,26028,-,-,-,644
1965,136240,-,-,-,554,25428,-,-,-,425
1966,155120,-,-,-,432,31418,-,-,-,427
1967,158716,-,-,-,266,35151,-,-,-,382
1968,184812,-,-,-,247,45422,-,-,-,674
1969,255509,-,-,-,293,48010,-,-,-,621
1970,320544,-,-,-,146,53281,-,-,-,443
1971,411987,-,-,-,134,55153,-,-,-,370
1972,474216,-,-,-,127,72051,-,-,-,462
1973,571106,-,-,-,87,92331,-,-,-,486
1974,655066,-,-,-,74,100882,-,-,-,471
1975,674517,-,-,-,116,104403,-,-,-,610
1976,704880,-,-,-,256,103849,-,-,-,1193
1977,681920,-,-,-,368,66151,-,-,-,2246
1978,801505,-,-,-,499,75790,-,-,-,3816
1979,829919,2276,-,-,474,75787,838,-,-,15396
1980,570249,226534,-,-,612,56218,14109,-,-,19074
1981,320421,128774,-,-,677,24046,7468,-,-,34222
1982,346479,212060,-,-,652,18955,20515,-,-,43331
1983,70837,538834,-,-,455,7781,40494,-,-,28183
1984,29012,503904,-,-,508,4470,61632,-,-,28675
1985,24321,578725,-,-,577,4334,66826,-,-,25592
1986,54384,620221,-,-,748,7533,76828,-,-,26673
1987,24752,387785,-,-,901,6438,70898,-,-,22858
1988,65698,492642,-,-,1202,11614,73840,-,-,34840
1989,222551,345658,-,-,1022,38270,53871,-,-,42590
1990,463464,70250,-,-,1055,79391,11746,-,-,35431
1991,474069,129139,-,-,1302,72189,21843,-,-,33902
1992,434173,164840,-,-,1176,64754,30663,-,-,29045
1993,679685,227289,-,-,3631,84913,36946,-,-,48922
1994,1013410,119203,-,-,2388,114075,22631,-,-,58752
1995,1381192,32808,-,-,1542,176482,7898,-,-,52356
1996,1421342,6333,-,-,834,200626,1314,-,-,42687
1997,1599517,924,-,-,4773,202171,196,-,-,66084
1998,1239984,982,-,-,5098,148750,242,-,-,71367
1999,1023240,9851,-,-,3111,98989,1096,-,-,59322
2000,1191685,9610,-,-,3775,118794,682,-,-,79098
2001,1299796,14979,-,-,3457,112624,3356,-,-,76593
2002,1181780,47366,-,-,-,102183,8595,-,-,64341
2003,1046474,33034,39095,-,-,105989,3346,9083,-,54729
2004,967235,49801,278764,-,-,110710,1149,49615,-,66247
2005,646659,30904,752597,-,9662,50347,1453,59507,-,68713
2006,283240,1651,1334342,1,13713,33319,212,95992,2,69813
2007,233440,90,1834259,2,17915,12211,17,168821,1,74467
2008,206815,70,2113289,8,21122,10201,14,215962,1,103711
2009,210281,61,2416111,21,17388,11407,9,236187,1,117401
2010,264330,44,2570578,24,21564,16347,6,305595,5,150536
2011,350848,44,2524402,200,26153,25956,7,323669,-,174552
2012,258950,46,2834334,117,21776,14965,6,328488,-,175501
2013,182046,29,2833091,484,25133,7063,5,335989,7,196049
2014,180561,10,2588367,842,24907,4280,4,352127,13,182372
2015,133922,13,1959868,843,28363,2228,3,234136,3,121153
2016,79490,12,1572798,1085,34904,1005,4,177934,6,121358
2017,68145,26,1739014,3278,46121,757,4,188177,18,130444
2018,81493,20,1969672,3965,46964,442,1,198480,5,174296
2019,73429,26,2123841,11844,52933,425,2,204780,14,198289
2020,58330,18,1490480,19687,47427,600,3,174498,58,163718
2021,52089,19,1411662,34839,59858,1499,6,212660,151,204327
2022,44286,32,1437713,48744,45891,4520,3,195532,518,183222
2023,48515,31,1545015,92846,34993,12056,3,264812,1063,180896
2024,81778,15,1664671,174797,27420,20666,4,302604,2541,213040
