i,t,Sg,Pop,Sg_pc,Ve,V,Mi_c,Mi_e,Pg,Pe,Pd,l1_Pg,l1_Pe,l1_Pd,l2_Pg,l2_Pe,l2_Pd,gdp_pc,l1_gdp_pc
11,2006,180781.71,1562417,0.11570644072613137,0,222032.0,0.14210802877848872,0.0,2.73,2.14,2.08,2.6507,1.8668,1.9597,2.6162,1.755,1.7659,11.25619621387888,11.518912428052179
11,2007,192110.87,1527991,0.12572774970533204,0,252790.0,0.16543945612245098,0.0,2.5656,1.8189,1.9816,2.73,2.14,2.08,2.6507,1.8668,1.9597,11.95963408253059,11.509800986982253
11,2008,211211.34,1493565,0.14141422703397574,0,295349.0,0.19774767084124226,0.0,2.4498,1.6814,2.0068,2.5656,1.8189,1.9816,2.73,2.14,2.08,13.465917162025088,12.235298257123057
11,2009,233616.64,1503928,0.15533764914277812,1,343361.0,0.2283094669425664,0.0006649254485587076,2.3225,1.6119,1.9672,2.4498,1.6814,2.0068,2.5656,1.8189,1.9816,14.220437633384046,13.373128611276604
11,2010,286145.9,1540192,0.18578586306122874,1,394280.0,0.25599405788369245,0.0006492697014398205,2.2666,1.6856,1.8247,2.3225,1.6119,1.9672,2.4498,1.6814,2.0068,15.522666654546965,13.885615773293202
11,2011,325210.12,1576455,0.20629204132055784,8,446685.0,0.2833477644461783,0.005074677044381222,2.2742,1.8209,1.7134,2.2666,1.6856,1.8247,2.3225,1.6119,1.9672,16.14828595843205,15.165600667320032
11,2012,365370.29,1590011,0.2297910454707546,12,492911.0,0.3100047735518811,0.007547117598557494,2.1415,1.7495,1.6261,2.2742,1.8209,1.7134,2.2666,1.6856,1.8247,16.197644213907953,16.0106100779177
11,2013,378462.95,1728214,0.21899079049238115,25,531964.0,0.30781141687314184,0.014465801110279166,2.0974,1.6793,1.7067,2.1415,1.7495,1.6261,2.2742,1.8209,1.7134,14.326393706682158,14.902339915195688
11,2014,406947.37,1748531,0.2327367201382189,50,569724.0,0.32583008250926065,0.02859543239439278,2.0612,1.6941,1.7778,2.0974,1.6793,1.7067,2.1415,1.7495,1.6261,14.357186401728079,14.15992863346432
11,2015,416855.03,1768204,0.2357505299162314,77,601181.0,0.3399952720387467,0.04354701154391688,2.0895,1.6122,1.8101,2.0612,1.6941,1.7778,2.0974,1.6793,1.7067,14.180968015285568,14.197448651965496
11,2016,431573.74,1787279,0.24146970898220144,113,625604.0,0.3500315283735779,0.06322460007642904,2.1246,1.8563,1.807,2.0895,1.6122,1.8101,2.0612,1.6941,1.7778,14.006220963319102,14.029619532540808
11,2017,436154.44,1805788,0.24153136470061823,225,648227.0,0.3589718172897372,0.12459934388754383,2.101,1.835,1.7659,2.1246,1.8563,1.807,2.0895,1.6122,1.8101,14.746096377647875,13.862659734752917
11,2018,427769.57,1757589,0.2433843008803537,354,676112.0,0.38468151541685797,0.20141227556613064,2.3019,1.9122,1.902,2.101,1.835,1.7659,2.1246,1.8563,1.807,14.964705443877948,15.150483921781486
11,2019,440066.88,1777225,0.24761461266862667,738,704059.0,0.39615636737047927,0.4152541180773397,2.2166,1.8578,1.8873,2.3019,1.9122,1.902,2.101,1.835,1.7659,14.887910837344737,14.799365120567176
11,2020,430076.78,1796460,0.2394023691036817,1433,727072.0,0.40472484775614265,0.797679881544816,2.0596,1.7257,1.7116,2.2166,1.8578,1.8873,2.3019,1.9122,1.902,15.157209895071418,14.728503466762412
11,2021,439880.44,1815278,0.24232125327360327,2489,749237.0,0.41273953631344623,1.3711398474503629,2.5037,2.1362,2.0636,2.0596,1.7257,1.7116,2.2166,1.8578,1.8873,14.958353031932297,15.000083341559806
11,2022,461219.1,1815278,0.2540762902431473,4185,770304.0,0.42434492127376633,2.3054320054559136,2.508,2.2132,2.8069,2.5037,2.1362,2.0636,2.0596,1.7257,1.7116,15.820872182222226,14.958353031932297
11,2023,478218.96,1815278,0.2634411698924352,7568,790667.0,0.4355624868477445,4.169058403175712,2.3355,1.8761,2.4281,2.508,2.2132,2.8069,2.5037,2.1362,2.0636,17.220572775023992,15.820872182222226
12,2006,54125.47,686652,0.0788251836446992,0,58688.0,0.08546978673330886,0.0,2.94,2.26,2.29,2.7435,2.0112,2.1556,2.6925,2.0167,1.9404,9.146161850107479,9.009036619859842
12,2007,59986.73,683364,0.08778151907329038,0,68508.0,0.10025111068186209,0.0,2.7953,1.9816,2.1731,2.94,2.26,2.29,2.7435,2.0112,2.1556,10.109169118215181,9.19016852907089
12,2008,69961.95,680075,0.10287387420505091,0,80705.0,0.11867073484542146,0.0,2.6848,1.8983,2.1876,2.7953,1.9816,2.1731,2.94,2.26,2.29,10.967194877623792,10.158059398301658
12,2009,75724.2,691132,0.10956546651001545,0,95982.0,0.13887650984182473,0.0,2.5739,1.8286,2.1319,2.6848,1.8983,2.1876,2.7953,1.9816,2.1731,11.62123418710174,10.79173740530029
12,2010,94983.8,718759,0.1321497191687339,1,112888.0,0.15705959855807022,0.0013912869264941377,2.4466,1.972,1.9802,2.5739,1.8286,2.1319,2.6848,1.8983,2.1876,11.606610838959929,11.174547833418433
12,2011,106948.78,746386,0.14328883446366894,5,127609.0,0.17096917680663892,0.006698946657627555,2.3895,1.9131,1.9285,2.4466,1.972,1.9802,2.5739,1.8286,2.1319,11.069527355148676,11.176999568587835
12,2012,118891.75,758786,0.15668679970373728,8,141181.0,0.18606168274058826,0.010543157095676515,2.2721,1.8293,1.8874,2.3895,1.9131,1.9285,2.4466,1.972,1.9802,11.426987779953768,10.888630318034334
12,2013,125329.99,776463,0.1614114130357789,20,153489.0,0.19767715911769138,0.025757827481798876,2.2276,1.8095,1.9329,2.2721,1.8293,1.8874,2.3895,1.9131,1.9285,11.756188050686253,11.166840338303306
12,2014,138151.75,790101,0.1748532782517678,44,166165.0,0.21030855548847552,0.05568908278814987,2.1965,1.8358,1.9775,2.2276,1.8095,1.9329,2.2721,1.8293,1.8874,12.565756238885914,11.55326349719846
12,2015,140258.84,803513,0.1745570264575682,63,177673.0,0.22112025567725724,0.07840570096563465,2.235,1.781,1.9731,2.1965,1.8358,1.9775,2.2276,1.8095,1.9329,11.626955364256707,12.356012373290786
12,2016,136817.74,816687,0.16752775543139536,86,186035.0,0.22779228762059395,0.10530350060671959,2.2396,1.8344,1.9658,2.235,1.781,1.9731,2.1965,1.8358,1.9775,10.68398450899794,11.439400634025029
12,2017,136592.56,829619,0.16464492737027478,161,194634.0,0.23460648803848513,0.19406498645763898,2.3244,1.9414,2.0318,2.2396,1.8344,1.9658,2.235,1.781,1.9731,10.527570934730281,10.517443858807477
12,2018,133872.32,869265,0.1540063386884322,244,204417.0,0.2351607392452244,0.28069691060838753,2.5531,2.0148,2.2455,2.3244,1.9414,2.0318,2.2396,1.8344,1.9658,10.328226443949774,10.047422674673431
12,2019,138001.4,881935,0.15647570399179078,493,214462.0,0.2431721158588785,0.5589981121057674,2.3837,1.9414,2.2657,2.5531,2.0148,2.2455,2.3244,1.9414,2.0318,9.957676968937621,10.179849716589091
12,2020,136417.72,894470,0.15251234809440228,919,223310.0,0.2496562210023813,1.0274240611758918,2.2665,1.8574,2.116,2.3837,1.9414,2.2657,2.5531,2.0148,2.2455,9.720609449394614,9.818131225865598
12,2021,138568.1,906876,0.1527971850616843,1831,231718.0,0.25551233024140013,2.0190191382283795,2.7002,2.2644,2.5037,2.2665,1.8574,2.116,2.3837,1.9414,2.2657,11.002059298735439,9.587632194699165
12,2022,149349.85,906876,0.16468607615594635,2969,239492.0,0.2640846157578324,3.273876472637935,2.6292,2.1768,3.0936,2.7002,2.2644,2.5037,2.2665,1.8574,2.116,11.225083537771427,11.002059298735439
12,2023,155529.5,906876,0.17150029331463176,5209,247107.0,0.2724815741071547,5.743894424375549,2.4165,1.7873,2.7254,2.6292,2.1768,3.0936,2.7002,2.2644,2.5037,11.853391970677357,11.225083537771427
13,2006,332061.53,3311026,0.10028961717606567,0,245586.0,0.07417217502973399,0.0,2.56,2.05,1.99,2.6507,1.8875,1.8978,2.311,1.6896,1.7114,16.247739433698197,14.76249970247893
13,2007,354301.33,3326060,0.10652283181902912,0,275584.0,0.08285599177405098,0.0,2.3645,1.6944,1.8955,2.56,2.05,1.99,2.6507,1.8875,1.8978,16.545409851776576,16.174298631473878
13,2008,388553.26,3341094,0.11629521947002988,0,309201.0,0.09254483711023993,0.0,2.2057,1.6091,1.9255,2.3645,1.6944,1.8955,2.56,2.05,1.99,16.75603474610412,16.470960078225875
